image,defect_type,area_orig,bbox_x,bbox_y,bbox_w,bbox_h
test1.1.jpeg,irregularity,1919.5,0,0,224,183
test1.2.jpeg,irregularity,207.0,0,53,33,29
test1.2.jpeg,irregularity,699.0,34,31,49,111
test1.2.jpeg,surface_defect,6171.0,71,0,131,132
test1.3.jpeg,surface_defect,9961.0,0,0,289,175
test1.jpeg,crack,543.0,115,68,128,27
test2.1.jpeg,irregularity,2885.0,0,56,225,113
test2.2.jpeg,irregularity,236.0,75,62,43,36
test2.2.jpeg,crack,1423.0,133,29,181,53
test2.2.jpeg,irregularity,506.0,302,23,66,51
test2.3.jpeg,irregularity,202.0,278,31,35,28
test2.3.jpeg,irregularity,13222.0,38,0,275,161
test2.4.jpeg,irregularity,642.5,207,122,28,26
test2.4.jpeg,irregularity,653.0,173,122,28,26
test2.4.jpeg,irregularity,11808.5,4,122,231,83
test2.4.jpeg,irregularity,661.0,71,122,29,26
test2.4.jpeg,irregularity,650.5,38,121,27,27
test2.4.jpeg,irregularity,660.0,0,119,32,29
test2.4.jpeg,irregularity,1119.5,195,80,40,30
test2.4.jpeg,irregularity,1110.5,148,80,40,30
test2.4.jpeg,irregularity,1160.5,52,80,42,30
test2.4.jpeg,irregularity,1164.5,4,80,42,30
test2.4.jpeg,irregularity,1141.5,100,79,41,32
test2.4.jpeg,irregularity,795.5,205,40,30,29
test2.4.jpeg,irregularity,775.5,165,40,30,29
test2.4.jpeg,irregularity,689.0,84,40,30,29
test2.4.jpeg,irregularity,784.0,43,40,30,29
test2.4.jpeg,irregularity,701.5,3,40,29,29
test2.4.jpeg,irregularity,5275.5,3,4,232,26
test2.5.jpeg,irregularity,22886.0,0,0,297,170
test2.5.jpeg,person,264.0,203,83,11,24
test2.5.jpeg,person,407.0,188,83,11,37
test2.jpeg,irregularity,252.0,217,141,58,42
test2.jpeg,irregularity,207.0,12,103,30,66
test2.jpeg,surface_defect,4747.0,81,0,194,183
test2.jpeg,irregularity,2277.0,25,0,199,108
test2.jpeg,irregularity,344.5,9,0,53,44
test2.jpeg,person,2300.0,227,-1,46,50
test3.jpeg,crack,345.0,7,140,137,43
test3.jpeg,irregularity,438.0,165,137,46,38
